Standing,Nation,AtheleCount,GoldCount,SilverCount,BronzeCount
1,BUL,8,8,0,0
2,ARM,10,6,7,6
3,TUR,10,5,4,2
4,GER,3,3,1,2
5,ITA,2,3,0,2
6,MDA,10,1,4,5
7,AZE,1,1,1,1
8,GEO,10,0,5,4
9,ESP,4,0,3,0
10,UKR,9,0,2,2
11,EST,2,0,2,0
12,ROU,8,0,1,2
13,ALB,3,0,0,2
14,NOR,1,0,0,0
15,POL,8,0,0,0
16,LAT,3,0,0,0
17,CYP,1,0,0,0
18,CZE,5,0,0,0
19,ISR,2,0,0,0
20,LTU,2,0,0,0
21,SVK,4,0,0,0
22,AUT,2,0,0,0
23,CRO,3,0,0,0
24,SRB,1,0,0,0
25,DEN,2,0,0,0
26,SUI,1,0,0,0
27,GBR,1,0,0,0
28,IRL,3,0,0,0
29,BEL,2,0,0,0
30,GRE,2,0,0,0
31,BIH,1,0,0,0
32,FIN,5,0,0,0
33,FRA,1,0,0,0
34,ISL,2,0,0,0
35,SWE,1,0,0,0
36,SLO,2,0,0,0
