Standing,Name,Born,Nation,Session,Bodyweight,Snatch,CleanAndJerk,Total
1,NASAR Karlos May,12.06.2004,BUL,A,93.35,188,229,417
2,DAVITADZE Revaz,16.10.1998,GEO,A,94.75,174,205,379
3,HOVHANNISYAN Davit,14.01.1997,ARM,A,95.85,173,203,376
4,KLIMONOV Egor,24.08.1992,AIN,A,96.00,164,203,367
5,GOBEJISHVILI Irakli,10.10.2000,GEO,A,95.10,166,194,360
6,ADAMUS Bartlomiej,12.05.2000,POL,A,96.00,162,197,359
7,SERDIUKOV Anton,28.03.1998,UKR,A,96.00,163,195,358
8,SIMBUERGER Elias,28.03.2004,AUT,B,92.60,147,189,336
9,TSCHAN Yannick,30.08.1996,SUI,B,95.90,151,182,333
10,TATARU Darius Stefan,19.12.2004,ROU,B,94.90,135,190,325
11,SAMKO Karol,09.03.1990,SVK,B,96.00,135,190,325
12,MARGULIS Yanush,04.02.2006,ISR,B,95.10,153,171,324
13,POZIDIS Spyridon,21.02.1998,GRE,B,95.65,148,172,320
14,BARTECEK Jakub,04.12.2000,CZE,B,96.00,143,173,316
15,PELTOKANGAS Antti,20.05.1995,FIN,B,96.00,130,180,310
16,ROCHE Shane,10.06.2002,IRL,B,95.35,135,168,303
17,BARNES Ciaran,08.08.1998,IRL,B,95.00,125,171,296
18,DOBNIK Peter,08.07.1991,SLO,B,93.50,130,160,290
19,KURNAZ Hakan Sukru,31.05.2004,TUR,A,95.80,0,191,191
