Standing,Name,Born,Nation,Session,Bodyweight,FirstAttempt,SecondAttempt,ThirdAttempt,Result
1,NASAR Karlos May,12.06.2004,BUL,A,93.35,174,180,188,188
2,DAVITADZE Revaz,16.10.1998,GEO,A,94.75,167,171,174,174
3,HOVHANNISYAN Davit,14.01.1997,ARM,A,95.85,165,170,173,173
4,GOBEJISHVILI Irakli,10.10.2000,GEO,A,95.10,161,161,166,166
5,KLIMONOV Egor,24.08.1992,AIN,A,96.00,160,164,166,164
6,SERDIUKOV Anton,28.03.1998,UKR,A,96.00,163,168,168,163
7,ADAMUS Bartlomiej,12.05.2000,POL,A,96.00,157,162,164,162
8,MARGULIS Yanush,04.02.2006,ISR,B,95.10,149,149,153,153
9,TSCHAN Yannick,30.08.1996,SUI,B,95.90,146,149,151,151
10,POZIDIS Spyridon,21.02.1998,GRE,B,95.65,140,144,148,148
11,SIMBUERGER Elias,28.03.2004,AUT,B,92.60,142,147,150,147
12,BARTECEK Jakub,04.12.2000,CZE,B,96.00,136,140,143,143
13,ROCHE Shane,10.06.2002,IRL,B,95.35,135,139,140,135
14,SAMKO Karol,09.03.1990,SVK,B,96.00,135,140,140,135
15,TATARU Darius Stefan,19.12.2004,ROU,B,94.90,135,140,141,135
16,DOBNIK Peter,08.07.1991,SLO,B,93.50,130,140,145,130
17,PELTOKANGAS Antti,20.05.1995,FIN,B,96.00,130,130,134,130
18,BARNES Ciaran,08.08.1998,IRL,B,95.00,125,125,125,125
0,KURNAZ Hakan Sukru,31.05.2004,TUR,A,95.80,167,167,168,0
